Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C3, C4, C6, C8",0402,8,100nF,
"C10, C14, C15, C5, C7",0402,5,1uF,
"C16, C17",0402,2,10pF,
C2,0402,1,10nF,
C9,0603,1,10uF,
FB1,0603,1,120R@100MHz,
J1,CONN19_FH35C-19S-0.3SHW99_HIR,1,FH35C-19S-0.3SHW99,
J2,PinHeader_2x03_P2.00mm_Vertical,1,DBG_Con,
"R1, R2, R3",0402,3,10k,
"R4, R5",0402,2,1.8K,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
U1,LQFP48_STM-L,1,STM32U031C8T6,
U2,21-0137_T1033-1C_MXM,1,MAX31331TETB+,
U3,LGA-14L_2P5X3X0P83_STM-L,1,LSM6DSRTR,
U4,SOT23_DBV_TEX,1,TPS7A0230PDBVR,
U5,DCK0006A_N,1,SN74LVC1G3157DCKR,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768K,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
