Designator,Mid X,Mid Y,Rotation,Layer
C1,97.2,-94.25,0.0,top
C10,98.2,-111.0,90.0,top
C11,99.59,-111.005,90.0,top
C12,91.85,-111.21,90.0,top
C13,91.85,-109.18,270.0,top
C14,101.46525,-89.950001,270.0,top
C15,107.76525,-89.950001,270.0,top
C16,91.94,-100.0,90.0,top
C17,91.94,-98.0,90.0,top
C2,94.2,-101.3,90.0,top
C3,90.75,-94.55,180.0,top
C4,94.25,-96.77,90.0,top
C5,90.0875,-102.1125,180.0,top
C6,105.8,-97.15,270.0,top
C7,90.1075,-103.7125,180.0,top
C8,102.475,-105.7,180.0,top
C9,97.18,-92.2,0.0,top
FB1,92.1275,-102.9125,270.0,top
J1,112.0,-100.0,90.0,top
J2,95.0,-87.75,270.0,top
R1,99.3,-93.51,90.0,top
R2,106.9,-107.85,180.0,top
R3,103.6,-107.45,180.0,top
R4,98.16,-105.85,180.0,top
R5,99.16,-106.925,0.0,top
U1,100.0,-100.0,0.0,top
U2,102.5386,-110.029999,180.0,top
U3,94.25,-109.79,270.0,top
U4,104.6,-90.4,0.0,top
U5,112.45,-107.35,90.0,top
Y1,106.85,-110.55,90.0,top
Y2,89.44,-98.8,90.0,top
