Designator,Mid X,Mid Y,Rotation,Layer
C1,56.042375,-42.79,90.0,top
C10,45.8,-46.84,180.0,top
C11,39.0,-34.7,0.0,top
C12,49.15,-37.76,270.0,top
C13,33.9,-37.79,270.0,top
C14,36.75,-41.9,90.0,top
C15,34.8725,-44.9,180.0,top
C16,34.8725,-46.0,180.0,top
C17,34.9,-47.4,180.0,top
C18,34.7,-40.56,90.0,top
C19,34.7,-42.74,90.0,top
C2,56.092375,-47.19,90.0,top
C20,34.075,-50.95,90.0,top
C21,46.2,-51.1,270.0,top
C3,49.742375,-47.19,90.0,top
C4,49.742375,-42.79,90.0,top
C5,45.0,-51.1,270.0,top
C6,47.4,-49.1,270.0,top
C7,40.9,-56.0516,90.0,top
C8,39.7,-56.0316,90.0,top
C9,36.7,-38.1,270.0,top
FB1,36.6925,-45.1,270.0,top
J1,44.0,-32.199289,180.0,top
J3,54.6,-35.9,180.0,top
R1,33.665,-49.3,0.0,top
R2,32.4,-38.0,270.0,top
R3,40.31,-47.1,180.0,top
R4,41.6,-48.49,0.0,top
R5,37.81,-56.45,0.0,top
R6,36.51,-55.2,180.0,top
U1,42.95,-40.64,0.0,top
U2,42.9,-51.1716,0.0,top
U4,53.042375,-42.29,180.0,top
U5,52.942375,-46.69,180.0,top
U6,36.475,-51.05,0.0,top
U7,50.3,-51.6,180.0,top
U8,54.9,-53.0,0.0,top
U9,43.9,-55.2716,180.0,top
Y1,47.9,-55.4716,270.0,top
Y2,32.2,-41.74,90.0,top
